part_id,pricing_profile,unit_price
POST_6X6_PT,Default,75.00
LBR_2X6_LF,Default,1.16
METAL_PANEL_29_SQFT,Default,1.45
TRIM_EAVE,Default,3.13
TRIM_RAKE,Default,3.13
TRIM_BASE,Default,3.13
TRIM_CORNER,Default,3.13
RIDGE_CAP,Default,3.75
SCREW_METAL,Default,0.17
CONCRETE_CY,Default,270.00
INS_R19_SQFT,Default,0.83
VENT_RIDGE,Default,4.00
VENT_GABLE,Default,80.00
DELIVERY_LUMP,Default,300.00
PERMIT_LUMP,Default,500.00
SITE_PREP_LUMP,Default,1000.00
TRUSS_STD,Default,312.50
METAL_PANEL_26_SQFT,Default,1.81
TRIM_DOOR,Default,3.13
TRIM_WINDOW,Default,3.13
TRIM_J_CHANNEL_29,Default,12.50
INS_ROCKWOOL_SQFT,Default,1.15
INS_RIGID_SQFT,Default,1.50
INS_SPRAYFOAM_SQFT,Default,2.25
SHEATHING_OSB_SQFT,Default,0.75
SHEATHING_PLY_SQFT,Default,1.10
OVERHEAD_DOOR,Default,1062.50
SLAB_MESH,Default,45.00
SLAB_REBAR,Default,0.85
